spark.memory.storageFraction,spark.executor.cores,spark.executor.memory,spark.executor.instances,spark.memory.fraction,spark.shuffle.file.buffer,spark.reducer.maxBlocksInFlightPerAddress,spark.default.parallelism,spark.reducer.maxSizeInFlight,spark.executor.memoryOverhead,range,dissimilarity_value,cos_distance,Euclidean_distance,distance
0.55,2.0,5.0,8.0,0.6,44.0,1627106000.0,252.0,62.0,479.0,0.063,0.009,0.994,0.218,483.811
0.55,2.0,5.0,8.0,0.59,43.0,1624476900.0,256.0,61.0,483.0,0.066,0.011,0.99,0.275,313.476
0.55,2.0,5.0,8.0,0.6,44.0,1634545400.0,257.0,63.0,493.0,0.106,0.014,0.993,0.238,296.338
0.55,2.0,5.0,8.0,0.59,44.0,1646436900.0,248.0,62.0,484.0,0.118,0.015,0.992,0.243,274.587
0.55,2.0,5.0,8.0,0.6,43.0,1637379200.0,254.0,62.0,470.0,0.019,0.013,0.99,0.284,262.683
0.57,2.0,5.0,8.0,0.6,44.0,1647543700.0,260.0,60.0,480.0,0.075,0.015,0.994,0.25,259.842
0.55,2.0,5.0,8.0,0.6,43.0,1631221100.0,252.0,63.0,483.0,0.039,0.014,0.99,0.279,248.402
0.55,2.0,5.0,8.0,0.59,43.0,1638501600.0,257.0,62.0,477.0,0.08,0.014,0.989,0.288,245.825
0.55,2.0,5.0,8.0,0.61,44.0,1640856300.0,252.0,62.0,503.0,0.117,0.017,0.993,0.242,241.436
0.55,2.0,5.0,8.0,0.6,43.0,1648710700.0,253.0,63.0,483.0,0.109,0.015,0.99,0.275,240.656
0.55,2.0,5.0,8.0,0.6,43.0,1642497800.0,258.0,62.0,495.0,0.095,0.016,0.992,0.265,236.393
0.56,2.0,5.0,8.0,0.6,44.0,1647275400.0,258.0,63.0,484.0,0.142,0.015,0.99,0.278,234.31
0.57,2.0,5.0,8.0,0.61,44.0,1633893500.0,255.0,61.0,496.0,0.088,0.016,0.993,0.267,233.943
0.55,2.0,5.0,8.0,0.6,43.0,1648079100.0,262.0,62.0,487.0,0.071,0.016,0.992,0.27,228.647
0.56,2.0,5.0,8.0,0.6,43.0,1635875500.0,248.0,60.0,475.0,0.044,0.016,0.992,0.267,227.608
0.56,2.0,5.0,8.0,0.6,43.0,1645052000.0,249.0,60.0,482.0,0.063,0.016,0.992,0.269,226.045
0.54,2.0,5.0,8.0,0.6,43.0,1636914300.0,255.0,63.0,488.0,0.088,0.016,0.991,0.27,225.119
0.56,2.0,5.0,8.0,0.6,43.0,1637105900.0,255.0,63.0,475.0,0.086,0.015,0.989,0.29,222.866
0.55,2.0,5.0,8.0,0.59,43.0,1623723900.0,253.0,63.0,485.0,0.14,0.016,0.989,0.287,221.847
0.55,2.0,5.0,8.0,0.6,44.0,1642854700.0,254.0,64.0,494.0,0.148,0.016,0.99,0.281,219.56
0.56,2.0,5.0,8.0,0.59,43.0,1630238700.0,248.0,62.0,471.0,0.057,0.018,0.992,0.245,219.509
0.55,2.0,5.0,8.0,0.61,42.0,1637644400.0,259.0,61.0,482.0,0.002,0.015,0.992,0.295,218.319
0.56,2.0,5.0,8.0,0.6,43.0,1642095900.0,253.0,62.0,470.0,0.068,0.016,0.989,0.288,217.373
0.56,2.0,5.0,8.0,0.6,43.0,1651617500.0,264.0,61.0,477.0,0.02,0.016,0.992,0.287,215.704
0.56,2.0,5.0,8.0,0.6,44.0,1621931000.0,252.0,64.0,489.0,0.127,0.016,0.99,0.279,215.07
0.55,2.0,5.0,8.0,0.6,43.0,1639907100.0,253.0,64.0,483.0,0.101,0.016,0.989,0.289,213.226
0.54,2.0,5.0,8.0,0.6,43.0,1645475100.0,260.0,62.0,492.0,0.067,0.018,0.992,0.263,209.581
0.55,2.0,5.0,8.0,0.59,43.0,1628395800.0,246.0,62.0,481.0,0.149,0.016,0.989,0.295,208.676
0.55,2.0,5.0,8.0,0.61,44.0,1638162200.0,265.0,62.0,497.0,0.063,0.018,0.993,0.261,208.062
0.55,2.0,5.0,8.0,0.6,43.0,1637286700.0,246.0,62.0,484.0,0.134,0.016,0.988,0.305,207.591
0.55,2.0,5.0,8.0,0.61,43.0,1636935700.0,262.0,62.0,494.0,0.024,0.019,0.994,0.258,207.522
0.55,2.0,5.0,8.0,0.6,43.0,1637249700.0,245.0,62.0,489.0,0.12,0.017,0.99,0.282,206.088
0.55,2.0,5.0,8.0,0.59,43.0,1631939300.0,254.0,63.0,486.0,0.122,0.016,0.988,0.303,205.881
0.56,2.0,5.0,8.0,0.59,43.0,1627875100.0,255.0,62.0,497.0,0.121,0.018,0.991,0.273,205.627
0.55,2.0,5.0,8.0,0.6,43.0,1631426300.0,250.0,63.0,489.0,0.091,0.016,0.989,0.295,204.868
0.55,2.0,5.0,8.0,0.59,43.0,1651497000.0,250.0,63.0,476.0,0.117,0.018,0.99,0.275,202.554
0.54,2.0,5.0,8.0,0.59,43.0,1638868500.0,255.0,63.0,489.0,0.108,0.018,0.991,0.268,201.976
0.56,2.0,5.0,8.0,0.61,43.0,1637996000.0,258.0,61.0,490.0,0.001,0.016,0.993,0.301,201.394
0.55,2.0,5.0,8.0,0.59,43.0,1636484400.0,248.0,63.0,472.0,0.117,0.018,0.991,0.271,197.643
0.55,2.0,5.0,8.0,0.61,44.0,1645502100.0,261.0,62.0,509.0,0.052,0.02,0.993,0.256,197.07
0.56,2.0,5.0,8.0,0.6,42.0,1629295600.0,253.0,62.0,482.0,0.104,0.016,0.987,0.319,195.071
0.55,2.0,5.0,8.0,0.6,42.0,1631803100.0,255.0,63.0,488.0,0.118,0.016,0.988,0.313,193.586
0.54,2.0,5.0,8.0,0.59,44.0,1643277300.0,250.0,64.0,481.0,0.132,0.018,0.991,0.28,192.478
0.56,2.0,5.0,8.0,0.61,43.0,1635223700.0,253.0,63.0,485.0,0.07,0.018,0.99,0.286,191.797
0.54,2.0,5.0,8.0,0.6,43.0,1633518500.0,247.0,63.0,484.0,0.065,0.018,0.99,0.282,190.457
0.56,2.0,5.0,8.0,0.61,43.0,1640690400.0,253.0,63.0,483.0,0.068,0.018,0.989,0.293,187.961
0.56,2.0,5.0,8.0,0.61,43.0,1626726900.0,257.0,63.0,491.0,0.09,0.019,0.99,0.283,186.616
0.55,2.0,5.0,8.0,0.6,43.0,1649080300.0,249.0,63.0,491.0,0.127,0.018,0.989,0.291,186.576
0.56,2.0,5.0,8.0,0.6,43.0,1634786300.0,247.0,63.0,484.0,0.077,0.018,0.989,0.287,186.321
0.56,2.0,5.0,8.0,0.61,43.0,1631501800.0,261.0,61.0,491.0,0.029,0.017,0.993,0.31,184.746
0.55,2.0,5.0,8.0,0.59,42.0,1636374500.0,252.0,62.0,485.0,0.092,0.017,0.987,0.319,179.863
0.55,2.0,5.0,8.0,0.59,43.0,1639800000.0,250.0,63.0,472.0,0.107,0.018,0.987,0.314,175.877
0.57,2.0,5.0,8.0,0.6,42.0,1641995800.0,258.0,61.0,483.0,0.1,0.017,0.988,0.322,175.869
0.57,2.0,5.0,8.0,0.59,43.0,1640843400.0,260.0,59.0,479.0,0.044,0.02,0.991,0.285,172.689
0.57,2.0,5.0,8.0,0.61,43.0,1631541500.0,265.0,61.0,488.0,0.019,0.02,0.993,0.287,172.155
0.55,2.0,5.0,8.0,0.6,43.0,1645972500.0,248.0,63.0,490.0,0.101,0.018,0.987,0.315,171.671
0.57,2.0,5.0,8.0,0.6,43.0,1635029800.0,247.0,61.0,488.0,0.09,0.018,0.987,0.322,171.594
0.55,2.0,5.0,8.0,0.58,43.0,1644775600.0,247.0,62.0,477.0,0.164,0.018,0.988,0.315,170.652
0.56,2.0,5.0,8.0,0.59,43.0,1630057700.0,250.0,62.0,495.0,0.111,0.019,0.988,0.3,170.001
0.57,2.0,5.0,8.0,0.61,42.0,1625565700.0,259.0,61.0,483.0,0.048,0.018,0.989,0.316,169.396
